City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
353,Sao Pedro Do Sul,BR,70.45,scattered clouds,-29.6206,-54.1789,Sítio Hotel e Eventos
357,Cururupu,BR,77.47,broken clouds,-1.8283,-44.8683,POUSADA TRAVÉS'CIA
358,Hasaki,JP,77.4,clear sky,35.7333,140.8333,Hotel Sunrise Choshi
359,Pafos,CY,80.51,clear sky,34.7667,32.4167,Elysium Hotel
361,Chapais,CA,74.98,overcast clouds,49.7834,-74.8492,Hôtel Opémiska
362,Padang,ID,77.0,overcast clouds,-0.9492,100.3543,Mercure Padang
363,Lubao,PH,80.67,heavy intensity rain,14.9167,120.55,Hacienda Gracia
365,Bairiki,KI,84.2,few clouds,1.3292,172.9752,Tarawa Boutique Hotel
366,Deming,US,78.69,overcast clouds,32.2687,-107.7586,Best Western Deming Southwest Inn
367,Kikwit,CD,78.13,clear sky,-5.041,18.8162,HOTEL PLACE YALABA
368,Tottori,JP,78.87,scattered clouds,35.5,134.2333,Hotel Monarque Tottori
371,Pyapon,MM,79.03,overcast clouds,16.2833,95.6833,Aung Naing Thu Motel
373,Gasa,PS,80.91,scattered clouds,31.5,34.4667,رابطة الفنانين الفلسطينيين
374,La Ronge,CA,73.65,scattered clouds,55.1001,-105.2842,Northland Motor Hotel
379,Baixo Guandu,BR,70.47,clear sky,-19.5189,-41.0158,Hotel e Restaurante Barbosa
382,Santa Helena,BR,79.16,overcast clouds,-2.2311,-45.3,Turi Plaza Hotel
386,Batangafo,CF,70.18,light rain,7.3008,18.2833,OCHA Office
393,Yafran,LY,78.8,clear sky,32.0633,12.5286,بيوت الشباب بيفرن
394,Tezu,IN,77.4,overcast clouds,27.9167,96.1667,Circuit House
397,Sisian,AM,71.96,broken clouds,39.5256,46.0251,Liko Hostel
401,Maragogi,BR,73.76,clear sky,-9.0122,-35.2225,Salinas do Maragogi All Inclusive Resort
402,Bathsheba,BB,84.81,scattered clouds,13.2167,-59.5167,Atlantis Hotel
405,San Pedro,PH,80.15,light rain,14.35,121.0167,Villa Veronica Resort Private Pool
418,Hede,CN,80.19,overcast clouds,33.7681,120.2517,Vienna 3 Best Hotel Sheyang Jiefang Rd
424,Leiyang,CN,75.6,few clouds,26.4024,112.8591,Dongyang Hotel
426,Yatou,CN,74.98,overcast clouds,37.15,122.3833,GreenTree Hotel Rongcheng Bus Station
429,Roma,US,81.91,clear sky,43.2128,-75.4557,Wingate By Wyndham Rome
