City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
159,Mahibadhoo,MV,2021-07-22 04:50:56,3.7833,72.9667,301.64,75,100,6.93
160,Khatanga,RU,2021-07-22 04:50:57,71.9667,102.5,285.56,87,100,1.22
161,Muslyumovo,RU,2021-07-22 04:50:57,55.3033,53.1947,298.59,47,85,3.43
162,Beloha,MG,2021-07-22 04:50:58,-25.1667,45.05,294.01,61,19,3.3
163,Kota Kinabalu,MY,2021-07-22 04:50:58,5.9749,116.0724,303.14,66,20,4.12
164,Yellowknife,CA,2021-07-22 04:50:59,62.456,-114.3525,292.75,68,20,1.34
165,Ancud,CL,2021-07-22 04:50:59,-41.8697,-73.8203,282.89,89,100,5.14
166,Belyy Yar,RU,2021-07-22 04:51:00,53.6039,91.3903,297.09,57,0,2.0
167,Sao Joao Da Barra,BR,2021-07-22 04:51:00,-21.6403,-41.0511,290.63,90,86,2.09
168,Los Llanos De Aridane,ES,2021-07-22 04:51:01,28.6585,-17.9182,292.01,86,0,6.17
169,Guerrero Negro,MX,2021-07-22 04:51:01,27.9769,-114.0611,294.1,84,54,5.09
170,Saucillo,MX,2021-07-22 04:51:02,28.0167,-105.2833,299.42,45,32,7.03
171,Cacu,BR,2021-07-22 04:51:03,-18.5567,-51.1308,289.54,27,1,1.72
172,Shirokiy,RU,2021-07-22 04:51:03,49.758,129.523,304.17,62,28,1.46
173,Priargunsk,RU,2021-07-22 04:51:03,50.3691,119.1012,302.71,64,4,6.36
174,Pevek,RU,2021-07-22 04:51:04,69.7008,170.3133,279.89,66,8,3.53
175,Kavieng,PG,2021-07-22 04:51:04,-2.5744,150.7967,301.42,75,93,3.4
176,Morondava,MG,2021-07-22 04:51:04,-20.2833,44.2833,294.71,74,0,3.13
177,Antalaha,MG,2021-07-22 04:51:05,-14.9003,50.2788,294.46,80,76,3.5
178,Kloulklubed,PW,2021-07-22 04:51:05,7.0419,134.2556,302.28,74,94,5.98
179,Aswan,EG,2021-07-22 04:51:05,24.0934,32.907,305.76,19,0,5.66
180,Okha,RU,2021-07-22 04:51:06,53.5739,142.9478,297.93,69,100,4.89
