City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
222,Deer Lake,CA,49.1667,-57.4316,58.86,72,90,10.36,overcast clouds
223,Tuatapere,NZ,-46.1333,167.6833,44.82,81,100,6.64,overcast clouds
224,Lashio,MM,22.9333,97.75,69.26,100,100,0.98,overcast clouds
225,Klaksvik,FO,62.2266,-6.589,50.92,94,81,15.99,broken clouds
226,Puerto Baquerizo Moreno,EC,-0.9,-89.6,79.79,61,20,11.5,few clouds
227,Guarapari,BR,-20.6667,-40.4975,71.49,70,0,8.93,clear sky
228,Cockburn Town,TC,21.4612,-71.1419,85.96,66,40,11.5,scattered clouds
229,Port Elizabeth,ZA,-33.918,25.5701,53.89,76,40,4.61,scattered clouds
230,Lazaro Cardenas,MX,17.9583,-102.2,85.59,74,50,9.64,scattered clouds
231,Katsuura,JP,35.1333,140.3,80.71,84,5,8.68,clear sky
232,Pangnirtung,CA,66.1451,-65.7125,51.82,61,100,9.82,overcast clouds
233,Tampico,MX,22.2167,-97.85,89.78,55,1,9.22,clear sky
234,Smidovich,RU,48.6,133.8167,74.19,65,48,4.41,scattered clouds
235,Salinopolis,BR,-0.6136,-47.3561,79.05,83,88,10.47,overcast clouds
236,Srednekolymsk,RU,67.45,153.6833,51.46,61,100,15.08,overcast clouds
237,Xian,CN,34.2583,108.9286,74.21,70,2,3.76,clear sky
238,Mount Pleasant,US,32.7941,-79.8626,87.94,61,1,1.99,clear sky
239,Kavieng,PG,-2.5744,150.7967,82.17,76,12,9.33,light rain
240,Hammerfest,NO,70.6634,23.6821,45.05,87,90,12.66,overcast clouds
241,Mongar,BT,27.2747,91.2396,65.93,98,100,1.16,overcast clouds
242,Marquette,US,46.5333,-87.6335,81.84,73,31,13.62,scattered clouds
243,Porosozero,RU,62.7191,32.727,55.53,62,100,3.96,overcast clouds
244,Shwebo,MM,22.5667,95.7,79.39,80,60,11.32,moderate rain
245,Faya,SA,18.3851,42.4509,66.31,69,67,3.78,broken clouds
246,Magistralnyy,RU,56.1725,107.4458,57.97,78,74,4.38,broken clouds
247,Matara,LK,5.9485,80.5353,77.11,91,95,6.93,overcast clouds
248,Antalaha,MG,-14.9003,50.2788,66.92,79,90,8.01,light rain
249,Mahebourg,MU,-20.4081,57.7,70.09,83,40,9.22,light rain
250,Beringovskiy,RU,63.05,179.3167,53.01,85,100,8.72,overcast clouds
251,Sitka,US,57.0531,-135.33,57.09,82,90,9.22,light rain
252,Mount Isa,AU,-20.7333,139.5,55.17,38,39,8.05,scattered clouds
253,Beaupre,CA,47.0443,-70.8953,83.7,44,100,5.75,overcast clouds
254,Cidreira,BR,-30.1811,-50.2056,61.52,69,2,6.46,clear sky
255,Lincoln,US,40.8,-96.667,92.53,34,18,12.91,few clouds
256,Rawson,AR,-43.3002,-65.1023,49.37,41,100,15.79,overcast clouds
257,Aban,RU,56.67,96.06,59.58,72,4,7.74,clear sky
258,Mackay,AU,-21.15,149.2,58.98,67,0,4.61,clear sky
259,Clyde River,CA,70.4692,-68.5914,34.03,100,90,23.02,light rain
260,Garagoa,CO,5.0824,-73.3633,65.7,85,100,3.47,overcast clouds
261,Beruwala,LK,6.4788,79.9828,78.26,88,66,6.04,broken clouds
262,Kropotkin,RU,45.4375,40.5756,72.61,46,62,7.45,broken clouds
263,Neryungri,RU,56.6709,124.6491,56.98,99,100,4.9,overcast clouds
264,Tangwani,PK,28.2787,68.9972,91.33,41,24,3.33,few clouds
265,Zheleznodorozhnyy,RU,55.7503,38.0042,59.36,61,54,2.71,broken clouds
266,Ciudad Bolivar,VE,8.1222,-63.5497,83.75,73,100,4.25,overcast clouds
267,Kaoma,ZM,-14.7833,24.8,59.7,57,2,11.7,clear sky
268,Gambela,ET,8.25,34.5833,70.0,93,100,2.13,overcast clouds
269,Huaicheng,CN,23.9051,112.1931,77.23,86,46,1.05,scattered clouds
270,Jieshi,CN,22.8134,115.8257,83.95,85,3,7.7,clear sky
271,Saint-Philippe,RE,-21.3585,55.7679,67.59,78,47,5.17,scattered clouds
272,Killam,CA,52.7834,-111.8518,78.39,35,8,12.66,clear sky
273,Shelburne,CA,44.0787,-80.2041,68.41,98,100,17.25,light rain
274,Faanui,PF,-16.4833,-151.75,76.96,75,49,11.32,light rain
275,Erenhot,CN,43.6475,111.9767,64.18,87,100,20.2,moderate rain
276,Dongsheng,CN,39.8161,109.9776,69.94,69,29,20.38,scattered clouds
277,Aitape,PG,-3.1374,142.3475,75.58,92,100,5.3,overcast clouds
278,Guerrero Negro,MX,27.9769,-114.0611,78.12,61,100,13.53,overcast clouds
279,Cauquenes,CL,-35.9671,-72.3225,52.32,78,100,12.35,overcast clouds
280,Jacareacanga,BR,-6.2222,-57.7528,92.59,32,99,2.42,overcast clouds
281,Altay,CN,47.8667,88.1167,64.26,51,0,4.79,clear sky
282,Ostrovnoy,RU,68.0531,39.5131,47.03,88,98,20.78,overcast clouds
283,San Andres,CO,12.5847,-81.7006,86.02,79,75,14.97,broken clouds
284,Kiunga,PG,-6.1219,141.2906,70.65,100,100,2.21,overcast clouds
285,Vila Velha,BR,-20.3297,-40.2925,71.55,64,20,5.75,few clouds
286,Taloqan,AF,36.7361,69.5345,82.74,18,1,4.56,clear sky
287,San Patricio,US,28.017,-97.5169,98.02,36,0,15.41,clear sky
288,Port Hardy,CA,50.6996,-127.4199,62.78,88,75,4.61,broken clouds
289,Pemangkat,ID,1.1667,108.9667,78.91,88,17,5.84,few clouds
290,Rovnoye,RU,50.7765,46.0509,66.78,64,64,8.03,broken clouds
291,Basco,PH,20.4487,121.9702,83.26,86,94,32.08,overcast clouds
292,Talara,PE,-4.5772,-81.2719,72.36,83,40,12.66,scattered clouds
293,Vanavara,RU,60.34,102.2797,62.35,77,77,2.62,broken clouds
294,Cap Malheureux,MU,-19.9842,57.6142,70.29,78,5,1.99,clear sky
295,Raudeberg,NO,61.9875,5.1352,58.87,90,98,3.27,overcast clouds
296,Coquimbo,CL,-29.9533,-71.3436,58.73,72,75,6.91,broken clouds
297,Awbari,LY,26.5921,12.7805,84.58,18,0,6.33,clear sky
298,Kyren,RU,51.6828,102.1408,55.51,90,85,0.98,overcast clouds
299,Port Alberni,CA,49.2413,-124.8028,85.87,45,8,1.99,clear sky
300,Pervoye Maya,RU,56.164,44.7196,51.51,75,29,1.92,scattered clouds
301,Puerto Leguizamo,CO,-0.1934,-74.7819,72.91,96,100,1.23,overcast clouds
302,Daru,PG,-9.0763,143.2092,76.77,90,100,12.01,moderate rain
303,Florida,US,28.7505,-82.5001,94.08,58,40,1.01,scattered clouds
304,Lumut,MY,4.2323,100.6298,78.82,89,40,0.0,scattered clouds
305,Tripoli,LY,32.8752,13.1875,81.52,58,0,13.98,clear sky
306,Garowe,SO,8.4054,48.4845,78.1,48,63,25.46,broken clouds
307,Bonthe,SL,7.5264,-12.505,76.3,86,100,7.36,light rain
308,Iquique,CL,-20.2208,-70.1431,62.64,74,95,6.64,overcast clouds
309,Bowen,AU,-20.0167,148.2333,64.62,53,4,10.98,clear sky
310,Victoria,HK,22.2855,114.1577,83.32,92,98,5.01,overcast clouds
311,Hami,CN,42.8,93.45,85.96,35,0,5.44,clear sky
312,Eirunepe,BR,-6.6603,-69.8736,94.48,32,29,0.65,scattered clouds
313,Phan Thiet,VN,10.9333,108.1,78.33,82,86,12.97,overcast clouds
314,Kloulklubed,PW,7.0419,134.2556,82.4,81,100,10.83,moderate rain
315,Carauari,BR,-4.8828,-66.8958,88.66,53,50,1.54,scattered clouds
316,Mustasaari,FI,63.1142,21.6822,61.9,82,0,4.61,clear sky
317,Tessalit,ML,20.1986,1.0114,93.76,35,43,16.13,scattered clouds
318,Yichun,CN,47.7,128.9,67.51,94,100,1.57,overcast clouds
319,Yenagoa,NG,4.9247,6.2642,73.13,82,50,4.76,scattered clouds
320,Resistencia,AR,-27.4606,-58.9839,86.05,43,0,10.36,clear sky
321,Zonguldak,TR,41.25,31.8333,59.41,88,1,3.06,clear sky
322,Atherton,GB,53.5237,-2.4935,63.7,72,100,1.99,overcast clouds
323,Guaira,BR,-20.3183,-48.3106,73.74,26,0,4.52,clear sky
324,Tiarei,PF,-17.5333,-149.3333,80.01,73,33,10.96,light rain
325,Shubarshi,KZ,48.5872,57.1869,72.03,42,0,8.84,clear sky
326,Aykhal,RU,66.0,111.5,60.3,59,0,8.55,clear sky
327,Yablonovo,RU,50.8523,37.3574,64.26,63,52,6.67,broken clouds
328,Vangaindrano,MG,-23.35,47.6,64.2,70,92,14.36,overcast clouds
329,Pacific Grove,US,36.6177,-121.9166,89.46,75,1,5.99,clear sky
330,Inirida,CO,3.8653,-67.9239,77.23,92,100,1.97,overcast clouds
331,Shimoda,JP,34.6667,138.95,77.11,83,7,9.04,clear sky
332,Meulaboh,ID,4.1363,96.1285,76.32,87,96,3.36,overcast clouds
333,Coahuayana,MX,18.7333,-103.6833,92.68,63,38,6.24,scattered clouds
334,Lorengau,PG,-2.0226,147.2712,81.21,75,63,6.4,broken clouds
335,Sapa,PH,5.1544,120.3241,82.72,84,97,12.39,overcast clouds
336,San Ramon,US,37.7799,-121.978,97.11,35,1,11.01,clear sky
337,Puerto Del Rosario,ES,28.5004,-13.8627,73.15,78,20,11.5,few clouds
338,Batemans Bay,AU,-35.7167,150.1833,48.9,52,31,11.27,scattered clouds
339,Salalah,OM,17.0151,54.0924,78.89,94,75,8.05,haze
340,Poum,NC,-20.2333,164.0167,71.91,81,6,6.44,clear sky
341,Mangrol,IN,21.1167,70.1167,81.88,83,99,18.1,overcast clouds
342,Mineral Wells,US,32.8085,-98.1128,98.35,41,1,11.5,clear sky
343,Rafraf,TN,37.1904,10.1837,84.51,65,0,15.5,clear sky
344,Mount Gambier,AU,-37.8333,140.7667,39.11,93,40,8.05,scattered clouds
345,Alanya,TR,36.5438,31.9998,88.48,35,19,1.32,few clouds
346,Mashivka,UA,49.4431,34.8669,66.06,64,50,3.62,scattered clouds
347,Porto Novo,BJ,6.4965,2.6036,78.62,78,90,7.23,overcast clouds
